req,res
언니 사무직으로 갈 거 아니면 진짜 비츄!,근데 뭐라도 따야 되지 않을까?/시간 아까워
그거는 그런데 차라리 할 거면 미용 자격증 어때?,무슨 미용 자격증?/나 완전 똥손 ㅋㅋ
컴퓨터보다는 뭐든지 기술은 하나씩은 가지고 있어야 되겠더라!,근데 요새 기술이 최고긴 하더라
언니 혹시 피부 미용에 관심 있어?,피부미용 따는 건 쉽대/근데 벌이가 될까?
피부 미용 요즘에 사람들 엄청 관심 있어 하잖아!,근데 그것도 서비스라 갑질 당할듯
또 생각해 보면 그렇게 되네 ㅋㅋ,"ㅋㅋ 지금 일에 충실하자,/일개미"
아버지는 어떤 직업을 가지고 계셔?,우리 아빠는 공인중개사야 사무직
진짜 돈 잘 버시지 않아?,근데 그것도 벌이가 왔다갔다 하지?
요즘에는 부동산업 어떻다셔?,몰라/말 안 해줘/매일 돈 없대 ㅋㅋ
언니 공인중개사 공부할 생각은 없어?,맞아/나 그거 공부하려고 했는데 아빠가 아빠꺼 쓰래 ㅋㅋ
그러면 언니 부동산에 대해서 좀 알아?,나는 잘 모르는 거 같은데 그냥 조금씩 듣지?
아버지 퇴근은 언제쯤 하셔?,ㅋㅋ 우리아빠 완전 프리렌서야 그런 거 없어
손님이 늦게 오면 늦게 끝나고 그래?,뭐 가끔 사람들 만난다곤 하는데 늦진 않아
사무실은 대전에 있는 거야?,아니 세종이랑 논산/나중에 놀러왕
언니는 지금 남자친구 있어?,없어 없어/너 있어?
다음 주에 기념일이야!,대박/얼마나 됐어?/좋아?
나는 다음 주에 7주년이야!,와 칠주년?/대박 ㅋㅋ/나 일년도 못 만났는데
나나 남친이나 시간 개념이 없으~,와 너 곧 결혼하겠네/남친 몇살이야?
남친은 이제 계란 한 판 됐으~,ㅋㅋ 이제 결혼할 때 됐네/언제 하게
20대를 즐길 거라구!,"근데 진짜 없으면 안될 거 같아 이제,"
ㅋㅋ 음 지금은 약간 의리로 살고 있다는 느낌?,ㅋㅋ 남친은 어디 사람이야?/논산?
남친은 지금 평택에 있어!,언제 소개시켜줘/친구들도 다리 놔줘
언니 요즘 운동하고 있는 거 맞아?,나 요새 운동 안 해/살 엄청 찜
ㅋㅋ 근데 겨울에는 많이 먹어줘야 해~,근데 운동 해야지/요가라도 해야지..
ㅋㅋ 언니 요가 배운 적 있어?,그치/난 요가 아님 필라테스만 해
요가랑 필테랑 뭐가 더 좋아?,필라테스가 더 좋다는데 시간대가 안 맞아ㅠ
필테는 몇 시에 시작하는데?,필테는 여덟시/나 퇴근 일곱시라 안 맞아
언니가 다녔던 필테는 기구 이용해서 하는 곳이야?,기구도 있었고 최근에 했던 데는 기구 아니었어
근데 필테는 기구 운동으로 거의 다 하는 거 아니야?,마져/기구가 좋은 거 같은데 안 맞네 시간이
언니 필테 언제부터 배웠어?,나는 필테는 거의 삼년 정도?
언니는 요즘에 핸드폰으로 게임 안 해?,나 안 해/너 해?
나 지금 한 면이 게임 앱으로 차 있지!,요새 뭐가 재밌어?/뭐해?
나는 개인적으로 다시 쿠키런을 시작했어!,ㅋㅋ 쿠키런 한번 빠지면 미치지
와 진짜 나 이거 때문에 다크써클 늘었잖아!,ㅋㅋ 요새 근데 나는 게임 안 하게 되더라
왜? 언니는 밖에 나가서 노는 걸 더 좋아해?,아니/요새는 그냥 집에만 있고 눈팅만 해
근데 유튜브랑 페북으로 하루종일 보낼 수 있어 나는!,ㅋㅋ 나도/나 매일 새벽까지 봐
거기다 넷플까지 봐 줘야지!,넷플 오징어 게임 봄?
오겜 안 보면 간첩이잖아!,진짜 존잼/빨리 투 나왔음 좋겠다
언니 이번 년도 얼마 안 남았는데 가고 싶은 곳 있어?,나는 진짜 해외 가고 싶다...
근데 지금 해외는 너무 위험해 ㅜ,ㅋㅋ 근데 난 어디든 놀러 다니는 건 좋아
올해는 어디 다녀와 봤어?,올해는 물놀이만 좀 다니고 제주도나 가고
헐! 제주도 몇월달에 다녀 왔어?,나 4월인가 갔다 왔어
4월이어도 좀 쌀쌀하지 않았어?,그리고 또 좀 더울 때도 갔다 왔어
와 이번 년도에 몇 번이나 갔다 온 거야!,두번 갔다 왔어/갈 데가 없잖아
나는 제주도 3년 전에 갔다 온 게 마지막인데 ㅜㅜ,ㅋㅋ 그럼 요즘 어디 다녀?
나 최근에는 강릉 갔다 왔어!,와 강릉 부럽다/나도 나중에 가볼래
와 오늘 분명히 날씨 풀린다고 그랬는데?,와 진짜 개추웠지/패딩 꺼내자
ㅋㅋ 나 패딩 논산집에서 안 가져왔단 말이야!,나도 아직 안 가져왔어/다담주에 갖고 와야지
나도! 막주에 가!,그때 갖고 와야지 안 그럼 얼어 죽어 ㅋㅋ
"나 얇은 트랜치 코트 가져왔는데 꺼내지도 못함,",오늘도 패딩 입고 다니더라 사람들 ㅋㅋ/코트 못입을듯
"나 그래서 이번에 조끼 베스트 하나 장만했어,",ㅋㅋ 와 나도 사야 되는데 요새 갑자기 추워져서 옷 입기 애매
나 그래도 두꺼운 코트 있어서 이거 입었는데 아침에는 그래도 춥더라!,잘 때 전기장판 틀구 자야 돼
나  이미 2도로 틀어놨어!,ㅋㅋ 나도 이미 틀고 잔다/안 틀면 얼어 죽어
그리고 감기 걸리면 요즘에는 코로나 검사해서 감기 절대 걸리면 안 돼!,그래도 위드 코로나래자나/만나자
언니 혹시 작년에 이슈였던 엘에이치 사건 알아?,그게 뭔데?/나 몰라
그 엘에이치공사에서 자기네들끼리 포식한 사건!,대박/근데 그게 머야?
걔네들끼리 부동산 정해서 투기하고 배 채웠잖아!,와 대박/부자 됐겠네/너무해
근데 자기네들은 절대 아니라고 그러다가 조용해졌는데 이번에 또 기사가 떴네!?,거짓말 치다가 걸렸구나/대박 ㅋㅋ 또?
ㅋㅋ 이번에는 엘에이치 부장네 매제랑 처제까지 땅 투기 의혹으로 법원에 갔다는 내용이야!,걔네 다 짤려야 되는 거 아님?
아니 솔직히 이거는 감옥 가야 하는 거 아니야?,감옥 가지 않을까?/사기꾼들 ㅋㅋ
지금 부동산 레드오션으로 집값도 장난이 아닌데 이런 사람들이 있으니까 더 올라가는 거잖아!,그래도 안 걸리는 사람들 많겠지
진짜 이런 적폐는 청산 되어야 해!,"우리 같은 일개미는 일이나 하자,"
지금 세계 기아 위험 1위가 어느 나라인 줄 알아?,그게 뭐야?/난 모르지
언니 그러면 소말리아라는 나라 들어봤어?,소말리아?/아프리카 아냐?/몰라
사진 못 봤어?,맞아/매일 티비에 나오는 애들?
왜 그런 줄 알아?,왜 그런데 ?/걔네 전쟁해?/안에 퀄리티 때문에 그런가?/또 다른 점이 있어?
내전이 몇십년 동안 이어져서 아직도 안 끝났대!,그럼 전쟁 그만 하면 되잖아
근데 북한은 몇 위인 줄 알아?,불쌍해/북한 몇위야?/거지
나는 상위일 줄 알았는데!,북한보다 더 못사는 나라가 많은가 보네
일단 아프리카에 있는 작은 나라들이 있어!,불쌍해/걔네는 뭐 먹고 살지?/우리나 잘살자
언니 탈색은 해 봤어?,웅 나 탈색 좀 많이 해
어떤 색 해 봤어?,나는 근데 밝은 색 아니고 검정으로 해가지고 탈색을 하지
그렇게 하면 어떤 색이 나와?,그냥 갈색을 하려고 해도 탈색을 해야 해
지금은 머리 무슨 색이야?,지금 머리 검정색 또 탈색해야겠지
나는 분홍머리 해 봤다!,와 분홍색?/어땠어?/신기해 ㅋㅋ
이게 보라색에서 분홍색으로 빠지는 건데 애들도 엄청 예쁘다고 했어!,와 검정머리 나올 때 좀 별로지?
유지 비용도 장난 아니잖아!,ㅋㅋ 머릿결 많이 안 상했어?
그때 엄청 좋은 탈색제로 써서 두피도 안 아팠고 나는 괜찮았어!,지금은 머리 무슨 색인데 ㅋㅋ
언니 최근에 아팠던 적 있어?,나는 아팠던 적이 별로 없어/나 백신 맞고 진짜 아팠어
나는 이번 년도에 코로나 검사만 두 번이나 했어!,난 코로나 검사만 네번 넘게 했어 ㅋㅋ
헐!? 언니는 안 아픈데 왜 했어?,나는 동선이 겹치고 그래서
나도 생각해 보니까 동선 겹친 적 있어!,ㅋㅋ 진짜 재수도 없지 동선 겹치면...
진짜 억울한 게 내가 갔던 곳은 테이블 8개 있는 진짜 작은 술집이었단 말이야!,난 오분 갔던 카페에서야 ㅋㅋ
"실화야,?",진짜 코로나 검사 너무 아파 ㅡㅡ
"언니, 나는 코 쑤시고 뺐더니 피가 나왔어,",맞아/그런 사람들 많더라/아파
진짜 다시는 하고 싶지 않아!,ㅋㅋ 집에 있는 게 최고야 그래서
언니는 중고거래 하다가 사기 당한 적 있어?,아니/난 귀찮아서 그런 거 잘 안 해
"나는 작년에 당해봤어,",에? 무슨 사기?/뭐 샀어
"나 화장품을 사려고 했는데, 계좌이체를 하라는 거야,",그래서 다른 사람한테 이체한 거지?
"나는 직거래를 하고 싶은데 자기가 일 때문에 택배로 보내준다는 거야,",아 그랬더니 택배도 안 왔어?
어 나한테 송장번호까지 알려줘서 나는 믿고 있었는데!,멍청이네/그래서 그런 거 하면 안돼
신고도 할 수 없고 말이야!,삼만원도 아까워/그걸로 치킨이나 먹지
치킨도 두 마리나 먹을 수 있다구!,ㅋㅋ 하지마 그런 거 이제/그냥 새 거 사자
그렇게 당하고 나도 이제 교훈을 얻었지!,당근은 그래도 한번은 해보고 싶다
"언니 이번에 기사 뜬 거 봤어,?",무슨 기사?/또 무슨 일?
언니 겟마을 차차차 봤어?,아니 갯마을 어제 끝났다며
거기 주인공 누구인지 알지?,어 근데 왜?/누구 죽었다는데?
그게 아니라 김선호 이번에 터졌잖아!,뭐? 뭐가 터졌어?/거짓말
김선호가 전여친 낙태 시키고 가스라이팅 했대!,와 진짜?/언제 터졌어 그게?
기사 봐봐!,오늘 ?/와 인스타 가면 보이겠네
어 김선호가 선전하는 광고사 다 김선호 얼굴 내렸대!,와 갑자기?/일박이일 뭔 죄야 ㅠㅜ
헐 ㅜㅜ 그 선한 눈망울에 우리가 속다니!,그래도 차차차 떴잖아 ㅋㅋ/당분간 쉬어도 되지
언니 자동차 극장 가본 적 있어?,가봤지/자동차 극장 좋지
언니 최근에 언제 가봤어?,나 최근은 아니고 일년 전?/남자친구가 없잖아
친구랑도 가면 재미있어~,차 있는 친구들이 별로 없어 ㅜㅜ
언니 그때 뭐 봤어?,나 그때 지푸라기라도 잡고 싶은 그거?
그거 전도연 나오는 영화 아니야?,맞아/그거였나 기억 안 나는데 그거였던 거 같아
헐 그거 되게 잔인하지 않아?,좀 찝찝한 영화지/보이스 봤어?
이번에 새로 나왔다는 영화?,어 진짜 존잼/봐바
언니 언제 봤어?,나 저번주에 엄마랑 봤어/너도 봐!
너 인도 커리 먹어봤어?,먹어봤지/나는 한국 카레보다 인도 카레가 좋더라
나도 ㅋㅋ 너 탄두리 치킨도 먹어봤어?,아니/그건 안 먹어본 거 같아
근데 탄두리 치킨보다 한국 치킨이 훨 맛있음!,역시 치킨은 한국이 진리지
탄두리 치킨은 너무 뻑뻑해!,탄두리 치킨도 카레향 나는 건가?
되게 빨개!,아 그래?/그래도 역시 치킨은 한국이지
너 그리고 라씨라고 알아?,어디서 들어본 거 같은데
그거 인도 전통 음료인데 안 먹어 봤어?,안 먹어 본 거 같아
이거 요거트 맛 나고 엄청 맛있잖아!,요거트 좋아하는데 한번 먹어봐야겠다
너가 사는 집이 주택이라고 했나?,웅 맞아/상가 주택이야
이웃 주민이라고 할 수 있는 사람 있어?,아니 이 건물에 우리만 살아
ㅋㅋ 그렇구나 우리는 일반 주택이라 이웃 주민이랑 자주 놀아!,부럽다 근데 주택 사니까 아파트는 못살겠어
근데 나는 아파트에서 살아보고 싶긴 하더라!,아파트에서 살면 층간 소음 때문에 힘들어
층산 소음 때문에 이웃이랑 칼부림도 나잖아!,그니까 우리 강아지가 짖기 시작하면서 주택으로 이사 왔어
그러면 거기서 다른 곳으로 이사 갈 계획은 없는 거네?,아직은 없는데 이사 가도 주택으로 가야 해
그렇지 마당 딸린 집이면 애들 엄청 좋아하겠다!,맞아/그럴려면 도심에서 떨어진 곳으로 가야하거든
그래도 프라이빗하고 좋지 않아?,맞아/그래서 나는 주택을 선호하는 편이야
너는 지금 공부하면서 알바는 안 하는 거지?,아니/가게 바쁠 때마다 내려가서 도와주고 있어
서빙을 주로 봐 캐셔를 주로 봐?,캐셔를 주로 하는데 다 하는 거 같아
ㅋㅋ 그렇구나 반찬 나를 때 쟁반 무겁지 않아?,맞아 무겁긴 한데 힘들면 로봇으로 보내
오 요즘에 인기인 로봇서빙기가 너네 가게에 있어?,우리 가게에 서빙 로봇이 있어
신기하다 그거 얼마 주고 사오셨대?,잘 모르겠어 손님들이 그걸 제일 궁금해 하더라고
그 로봇한테 반찬 주면 걔가 맞는 곳에 가서 반찬 주는 거야?,번호 누르고 보내면 그곳까지 가는데 내리는 건 손님이 해야 해
진짜 신기하다 걔 말도 해?,사람이 막고 있으면 비켜 달라고 해
ㅋㅋ 오 대박 귀엽겠다 언제 데리고 왔어?,코로나 심해질 때 데리고 온 거 같아
너 피엑스에 나오는 상품 같은 거 한 번이라도 본 적 있어?,피엑스에 있는 크림 좋아해서 친구들한테 부탁해
거기에 하겐다즈 아이스크림도 파는 거 알아?,아 그래?/하겐다즈 비싼데
대신에 초코맛만 파는데 얼마에 판매되는 줄 알아?,얼만데?/여기서는 비싼데 피엑스라 싸나?
너 하겐다즈 작은 통에 들은 거 원래 가격이 얼마인 줄 알아?,아니 비싸서 근처에도 안 가
근데 피엑스는 1000원이야!,너무 싼데?/여기서도 그렇게 팔면 많이 사 먹을 거 같아
나는 그거 군인 친구가 사다 줘서 먹어봤어!,나도 군인 친구한테 부탁해 봐야겠다
너는 내년에 동생 군대 가니까 동생한테 부탁해 봐!,동생 가면 다 사오라고 부탁할 거야
ㅋㅋ 그니까 휴가 나올 때마다 피엑스 털어오라고 그래!,좋은 생각이다 내년에 시켜봐야지
너는 어렸을 때 어떤 과목을 제일 좋아했어?,나는 수학을 제일 좋아했어
고등학생 때도 수학이 제일 좋았어?,고 1까지만 공부해서 그때까지는 좋아했어
고삼 되면 수학이 극혐이 된다던데?,다행이다/그때까지 안 해서 그래서 그런지 수학이 싫진 않아
나는 사칙연산에서 멈춤 ㅋㅋ,지금 수학 다시 보면 엄청 어렵더라고
피타고라스는 나중에 만나면 죽빵 한 대 날릴 거임!,나도 같이 한대 때려도 될까?
그리고 생각나는 수학 공식이 인수분해였나?,어렸을 때 인수분해 이런 거 좋아했는데
웃긴 거 알려줄까?,아 정말?/뭔데?/수학 공부하면 많이 힘들겠다
교수님이 말씀하시길 에이는 비래 그래서 고로 에이는 에프래 뭔소리냐 ㅋㅋ,이렇게 들어도 뭔 소린지 나도 모르겠다
너네는 사촌끼리 자주 만나?,우리 가족은 사촌끼리도 엄청 친해
그러면 사촌들이랑 다 같이 여행 간 적 있어?,나랑 동생이랑 사촌 동생 둘 데리고 일본 간 적 있어
어른들 빼고 사촌끼리만?,웅 처음으로 우리끼리 가본 거라 더 재밌었어
코로나 터지기 전?,나 20살 때 갔으니까 코로나 전에 갔어
그러면 애들은 고등학생이었겠네?,맞아/근데 나 믿고 보내주셨어
총 예산은 얼마 잡고 갔어?,인당 백만원씩 잡고 갔어
너 일본어 잘 해?,아니/나는 못하는데 동생이 할 줄 알아
일본인이랑 회화도 가능해?,웅 그래서 가이드는 동생이 해줬어
지금은 또 어떤 아이가 짖고 있는 거니?,아까부터 깜지가 봐달라고 짖어
ㅋㅋ 아침에는 조용했다가 어느 순간부터 짖네 ㅋㅋ,안 봐주니까 계속 짖어 조금 있다가 간식 줘야지
이 정도면 오게 생겼는데? ㅋㅋ,그니까 나도 신기해 짖는게 아주 우렁차
ㅋㅋ 타고난 발성과 성대를 가지고 있구나!,처음 짖을 때도 둘이 싸우다가 터득했어
ㅋㅋ 그러면 지금 휴지는 뭐하고 있어?,휴지는 옆에서 잘 거야 아마도
"ㅋㅋ 휴지는 이미 익숙해진 환경이 됐구나,",아니 둘이 번갈아가면서 해
지금 한 번 봐줘 깜지 ㅋㅋ,지금 봐주면 30분은 놀아줘야 해
오키오키 조금만 참으라고 해 줘~,좀 있다가 간식 주면서 놀아야지
너는 혹시 공 가지고 할 수 있는 운동 있어?,아니 춤 그만 두면서 운동이랑 거리가 멀어졌어
나는 요즘에 볼링 잘 치고 있음!,나 볼링 한 번도 안쳐봤는데 재밌어?
대학교 친구들이랑 안 가 봤어?,타지역으로 다니니까 수업 끝나고 바로 집 왔지
그렇구나 이번에 애들이랑 한 번 가 봐!,한 번도 안 해봐서 무서워
무서운 거 하나도 없어 그냥 굴리기만 하면 돼!,잘 굴리는 게 어려워 보이던데
ㅋㅋ 아니 나도 못하는데 떼굴떼굴 굴리면 다 되더라~,그거 한판 치면 몇 시간 정도 걸려?
총 4명이서 할 수 있는데 4명이서 하면 한 30분 걸리는 거 같아!,그럼 금액은 얼마 정도 해?
1인당 한 게임에 3~4천원 정도?,친구들이랑 하기에는 딱 좋은 운동이네
너 루미큐브도 해본 적 있어?,나 루미큐브 진짜 좋아해
너 이것도 앱으로 있는 거 알아?,당연하지 보드카페 못가면 앱으로 하지
지금 레벨 몇이야?,지금 레벨 13 정도 될걸
나 15인데 한 판 붙을래?,좋지 좋지 내가 질 거 같긴 해
ㅋㅋ 나는 무조건 15초 타임만 해!,완전 고수 아니야?/나는 잘 못하는데
그러면 너는 30초로 해,웅 그게 딱 좋더라고
ㅋㅋ 나는 30초면 2인 말고는 안 해!,완전 초고수구나 나랑 하면 내가 지겠다
ㅋㅋ 그거 기다리는데 너무 지루해!,맞아 기다리는 게 힘들긴 하지
너 해외여행 갈 때 여행사 끼고가는 편이야?,가족끼리 가면 여행사 끼고 가는 편이야
가족여행으로 어디어디 가 봤어?,일본이랑 베트남 코타키나발루 등 많이 가본 거 같아
코타키나발루 바다가 그렇게 예쁘다며?,맞아/내가 가본 곳 중에 제일 이뻤어
여행사도 잘 선정해서 가야한다던데 마음에는 들었어?,우리는 정말 쉬려고 가서 활동 다 취소하고 시장 갈 때만 같이 갔오
내가 아는 사람은 취소가 안 돼서 피곤한데 다 따라갔었대 ㅜ,진짜 힘들었겠다 여행사도 잘 골라야 해
그래서 여행 가이드랑 엄청 싸우고 와서 여행사 안 끼고 다닌대!,그니까 여행사 안 끼고 가도 충분히 즐길 수 있는 거 같아
뭐든 장단점이 있는 거 같아!,맞아/친구랑 갈 때는 여행사 안 끼는 게 좋은 거 같아
나도 친구랑 갈 때는 여행사 안 껴!,빨리 코로나 끝나서 해외여행 가고 싶어
너는 추운 게 좋아 더운 게 좋아?,나는 추위를 많이 타서 더운게 나아
"나는 더위를 많이 타서 추운 게 더 좋은 거 같은데 왜 오늘은 이렇게 추운 거지,?",한파 주위보라고 하잖아 너무 추워졌어
"후, 우리나라 날씨가 이상해진 거 같아, 평일에는 더웠는데!",맞아/날씨가 너무 오락가락해
이래놓고 또 더워지는 건 아니겠지?,그니까 추워서 두꺼운 옷 샀는데 또 더워지면 옷 없어...
"나 코트 샀는데 이거 지금 못 입을 거 같아,",날씨가 너무 극단적이야 오늘은 너무 추워
나 이거 지금 옷걸이에 걸고 입을 날 날만 기다리고 있었는데!,조금만 덜 추워도 입을 수 있을 텐데
나 주말에 이거 입고 데이트 하려고 했는데 패딩 입어야 할 거 같아!,이번 주말은 제일 추운 거 같아
그래서 오늘은 밖에 안 나가려고!,역시 추울 땐 집에서 이불 덮고 있어야지
너 이번에 이슈였던 중국산 김치 만드는 공정 봤어?,동영상으로 봤는데 이제 김치 살 때 원산지 꼭 봐야겠어
근데 중국산은 그런 거 안 봐도 딱 중국산 김치처럼 보이지 않아?,맞아 어떻게 김치 만드는데 들어갈 생각하지?
"아, 진짜, 그거 보니까 입맛이 뚝 떨어지더라, 아저씨 겨털 봄?",생각하고 싶지 않아 사람들이 먹는 건데
그에 비해 우리나라에서 김치 만드는 공정 본 적 있어?,아니 본 적 없는 거 같아 어때?
우리나라는 중국이랑 완전 달라 엄청 깔끔하게 만드셔!,역시 한국이야 믿고 먹는다니까
근데 한국 김치 수출률이 계속 떨어지는 추세래!,중국 김치가 더 저렴해서 그런가?
그런 것도 있고 우리나라 이번에 배추 생산이 적어져서 그렇대 ㅜ,배추 농사가 잘 안된 거야?
어 이번에 비가 많이 왔잖아 그래서 배추가 다 물렀대 ㅜ,아 그렇네 배추 생산으로 김치 수출률이 떨어질 줄이야
너 러시아산 보드카 먹어본 적 있어?,아니 보드카는 안 먹어본 거 같아
너 그러면 러시아인들이 엄청 독한 술 마시는 문화가 있는 건 알아?,40도 넘는 거 먹지 않아?
근데 이번에 가짜 술을 마시고 러시아인 18명이 죽었대!,헐 대체 뭘 넣길래 사람들이 죽은 거야?
이제 이 사람들은 센 도수 원해서 메탄올 성분이 담긴 술을 마셨대!,좀 더 알아보고 하지ㅠ
이게 경제난이 원인이라고 하더라 더 싼 메탄올을 마신 거지!,메탄올은 먹으면 바로 죽는 거 아니야?
이게 코로나 때문에 경제난이 생겨서 이런 식으로 만들어서 먹고 죽은 거래!,코로나 때문에 모든 사람들이 피해를 보네
그니까 ㅜㅜ 이 술을 만든 사람은 지금 감옥에 갇혀있대!,감옥에 가야지 사람들이 죽었는데
ㅜㅜ 근데 아직도 암암리에 이런 술을 만들고 있나 봐!,코로나가 없어져야 이런 것도 없어질 텐데
너는 몸에 문신 같은 거 했어?,아니 안 해봤는데 해보고 싶어
어느  부위에 하고 싶은데?,나는 발목에 작게 해보고 싶어
근데 발목에 하면 엄청 아프대!,맞아/뼈랑 가까울 수록 아프다는데 이쁠 거 같아
내 친구 발목에 장미 한 송이 그렸는데 눈물 흘렸대 ㅋㅋ,나는 레터링으로 해보고 싶어
레터링은 문구 생각해 놓은 거 있어?,아니/아직 찾아보는 중이야
부모님한테 허락은 받고 하는 거지?,당연하지/선타투 후뚜 맞은 위험해
ㅋㅋ 금액은 얼마 정도로 생각하고 있어?,한 30만 원 정도?/괜찮지 않을까?
대전 가면 싸고 예쁘게 해 주는 곳 있는데 거기 한번 가 봐!,아 정말?/요즘 타투 비싸긴 하더라
너는 눈 시력이 좋은 편이야?,아니 안 좋아서 렌즈끼고 다녀야 해
렌즈는 써클랜즈 끼는 거야 도수 있는 거?,아니 나는 투명렌즈 껴
그걸 소프트 랜즈라고 하나?,웅 맞아 써클렌즈는 너무 두꺼워
두꺼우면 눈에 이물질이 들어간 느낌이지?,맞아/그래서 소프트 렌즈를 선호하는 편이야
옛날에는 하드랜즈도 인기였는데 그거는 가격대가 있었지?,하드 렌즈는 40만 원인가 하더라고
너무 비쌌어 너 라식 할 생각은 없어?,하고는 싶은데 주변에서 말리더라고
요즘에 스마일라식이라고 사람들 엄청 많이 하던데!?,맞아/부작용만 없으면 하고 싶어
근데 부작용이 야맹증이라고 하더라!,그러면 조금만 더 생각해 봐야겠어
나 이번에 필터 하나 올영에서 샀어!,어때?/좋은 거 같아?
응 친구가 카카오톡으로 선물해 줘서 써 봤는데 좋아!,예전에 베트남 갈 때 사서 써봤는데 색이 충격적이더라
ㅋㅋ 헐 대박 나도 나중에 베트남 가면 그거 사용해야겠다!,여기서 사용해도 색 많이 변해?
어 3달 정도 쓰면 노랗게 변하더라!,나도 하나 장만해야 하나
20%인가?,그럼 빨리 가서 사야겠어 품절 되기 전에
어 그리고  지금 2만 원 이상 구매하면 쿠폰도 줘!,아 그래?/올영은 세일이랑 쿠폰이 많아서 좋아
매월 첫째 주에 제일 많이 하잖아!,맞아/가서 한 달 치 화장품 다 사 와야지
나도 그래 올영은 세일 안 하는 날 가서 사면 손해 보는 느낌이야!,맞아/꼭 세일 하는 날 쿠폰 가지고 가야지
너는 그러면 콘서트 한 번도 가본 적 없어?,웅 가면 신나게 놀 자신 있는데
나 싸이 콘서트 한 번 가봤어!,아 진짜 언제 가봤어?
나 18년도에 친구랑 가봤어!,새벽까지 해준다던데 그게 진짜야?
근데 나는 그 콘서트 말고 여름에 하는 콘서트 갔어!,여름에 하는 콘서트면 물 뿌리고 그러나?
물 대포 엄청 쏴 ㅋㅋ,진짜 재밌었겠다 코로나 끝나면 가봐야겠어
