req,res
사진 보니까 서핑이랑 비슷한 거네?,응 맞아 대신 강에서 하고 모터 보트가 직접 끌어주지!
위험하진 않고?,그럼 물놀이 필수는 구명 조끼지!/생각보다 중심 잡기가 어려워
한 번 타면 몇 시간 타는 거야?,힘이 들어서 2시간 정도 타는 것 같아
우리 저번에 했던 루미큐브 있잖아.,응 맞아 그래 그거 왜?
너 그거 앱 말고 보드 게임으로 해 봤어?,응 나 보드 게임 카페 가면 항상 그거 꼭 해
나도 가면 항상 하는데 최근에 가 봤어?,아니 요즘은 잘 안 가고 내가 다니는 카페에 게임이 많아
그래? 무슨 게임이 있어?,루미큐브랑 할리갈리 뱅 스플랜더 등등 유명한 거 많더라
할리갈리는 아는데 스플랜더는 뭐야?,뱅 게임이랑 비슷한 거 있어 ㅋㅋ
뱅 완전 재미있었는데 너도 뱅을 아는 구나!,그럼~ 나도 그거 좋아하는데 친구가 없어서 못해...
우리 조가네 녀자들 출동해야겠네!,맞아 다음에 모이면 같이 한번 해야지~
우리 조가네 녀자들 모여서 할 일이 많네!,그러게 얼른 모여야겠어!
우리 조가네 녀자들 모임 여행지 정해야지?,응 우리 작년에 태안 갔을 때 너무 재밌었잖아
맞아 그때 짱 재미있었는데 갈대밭? 거기도 좋았잖아.,팜파스 식물원~ 핑크 뮬리도 예뻤지 ㅋㅋ
맞아 그때 우리 총 경비가 얼마였지?,인당 10만원 들었던 것 같은데?/아닌가?
10만 원은 더 들지 않았을까?,아 그러게 식비를 포함 안 했네!
이번에는 한 15만 원 정도 넉넉하게 경비 맞춰서 가보자!,응 그래 어디가 좋을까?
음 서해안 갔으니까 이번에는 동해안으로 가 볼까?,좋지 근데 너무 멀지 않을까?
음 그래도 동해안 바다가 예쁘잖아!,바다 말고 서울 근교 캠핑 어때?
여자 넷이서 캠핑을 할 수 있을까?,음 그건 고민 해봐야겠네!
나 방금 창문 열었는데 꽤 시원하네?,그러게 말복 지나고 나서 완전 가을이야
작년에는 9월 중순까지 더웠던 걸로 기억하는데!,올해는 바짝 덥고 훅 시원한 것 같네 ㅋㅋ
별로 안 더웠어!,회사 안에만 있으면 더운지 모르지 ㅋㅋ/난 너무 더웠어
우리 회사 에어컨 빵빵하게 틀어줘서 담요 필수야 ㅋㅋ,아 진짜? 우리 집은 전기세 아끼려고 에어컨 아껴 썼어
알바 하는 곳은 시원하지 않아?,응 거기가 정말 파라다이스더라/하지만 돈 벌기는 싫지!
그래도 더운 곳에서 일 안 하는 게 어디야~,응 밖에서 일하면 열사병 걸릴 것 같더라
근데 요즘 뉴스에 열사병으로 노인 분들 돌아가셨단 얘기는 없더라!,아 그래? 다들 이제 더위에 대비 하시나 봐~
그러니까 작년에는 그런 뉴스 되게 많이 봤거든!,올해는 많이 줄어서 다행이네!
너 이번에 물 수질 검사 결과 봤어?,아 그거 벌레 나온 건가?
아니 물 만드는 회사 수질 검사를 했는데  적합 판정을 받은 회사가 거의 없어!,헐 진짜? 우리가 사 먹는 물 말이야?
응 삼다수 말고 거의 다 전멸이던데?,아 진짜? 나 삼다수 애용하는데 역시 믿고 먹나 봐 ㅋㅋ
물론 부적합 받은 물 ㅋㅋ,이제 하다가 물 가지고도 장난치네/이것들 너무하다
근데 장난친 거는 모르겠고 그냥 결과만 그렇게 나왔다고 알고 있어!,그래? 원인이 뭐래?/어떻게 사람이 먹는 물까지 이제 오염이란 거지...
원인은 이따가 기사 좀 자세히 봐야겠어!,응 그래 나도 그 기사 좀 보내줘
알겠어 나 물 좀 마시고 알려줄게~,그래 ㅋㅋ 물 마시고 와/앗 물 조심~
근데 마시는 물마다 맛이 다른 거 알아?,응 나도 그거 조금씩 느껴 가/가끔은 쇠맛도 나는 것 같아
너 아메리카 갓 텔런트 봤어?,응 나 그거 요즘 클립으로 뜨길래 봤지
한국 출신 태권도 선수들 너무 멋있지 않아?,그러게 태권도로 우리나라 이름도 알리고 결승 진출까지?!
맞아 나 유튜브로 동영상 다 찾아봤잖아 ㅋㅋ,그 정도야? ㅋㅋ/진심이구나/방탄에 이어서 태권도 까지 너무 자랑스럽다 ㅠㅠ
진짜 국뽕이 차오르는 느낌이다!,그러게 ~ 한류가 대세지 정말 ㅋㅋ
나무 판자를 세 바퀴 돌아서 부술 때 내가 다 짜릿하더라!,와 그거 정말 예술이네/군무도 딱딱 맞아
맞아 군무 얘기하니까 니가 말한 방탄도 생각 난다!,방탄 소년단도 빌보드 차트 휩쓸었잖아 ㅋㅋ
이번에 신곡 제목이 뭐였지?,버터 인것 같던데~?/노래가 상큼해 ㅋㅋ
근데 애들 노래 다 영어로 부르더라?,응 요즘 빌보드 가더니 한국말 잊어 먹었나 봐
너는 피부 시술 받아본 적 있어?,나 보톡스랑 윤곽 주사 맞았었잖아 ~
맞아 그거 안 아팠어?,처음엔 엄청 아프더라/얼굴이 다 부었어
둘 다 한 번에 맞은 거야?,응 한번에 다 맞고 1주일 간격으로 맞았어
아 그것도 몇 차례 맞아야 하는 거야?,응 3회 정도 맞으면 효과 본다고 해서
둘 다 3회 동시에 맞은 거야?,응 맞아 3회 동시에 맞았어 ㅋㅋ
두 개 합해서 가격은 어떻게 돼?,3회 기준 15만원/어때 저렴하지?
아 맞다 어느 부위에 맞은 거야?,볼이랑 턱 끝에 맞았어 ㅋㅋ
나도 볼살 빼고 싶은데 나도 맞아도 될까?,응 나는 효과 봐서 괜찮은 것 같아
너는 입원해 본 적 있어?,음 아니 나는 정말 튼튼해서 없던 것 같아/언니는?
나도 아파서 입원한 적은 없었어.,근데 언니 교통사고 나서 입원한 적 있지 않았어?
그거는 아파서 입원한 게 아니었지 하하.,아 그거 구나 나이롱 환자 ㅋㅋ
그럼 그럼 그때 얼마나 화났었는데!,입원 하면서 어떤 게 제일 불편 했어?
일단 8인실이라서 아줌마랑 할머니 코골이가 장난 아니었지!,8인실이면 옆에 돌아도 사람이 있겠구나 ㅋㅋ
맞아 코 고는 것도 6시부터 시작해.,헐 정말 불편하겠다./몇 일 정도 있었어 ?
거기 밥은 하나도 안 먹고 ㅋㅋ,일주일 동안 지루했겠네/등이 근질거렸겠다.
1 : 너는 입원해 본 적 있어?,그건 다행이네/교통 사고도 조심해야 해
너 이번에 에어팟 프로 장만했다며?,응 맞아 쿠팡에서 샀지~
그렇구나 얼마 주고 샀어?,원래 정가가 28만원 정도 하잖아/22만원 주고 샀어
괜찮았어?,쿠팡은 무료 반품도 되고 포장 상태도 나쁘지 않았어 ㅋㅋ
내 친구는 다른 사이트에서 샀는데 새 제품이라고 하고 중고 제품 줘서 엄청 싸웠어!,아 진짜? 하긴 매장이 아니고서야 잘 모르긴 하겠다
그러니까 그래도 너는 잘 사서 다행이다!,거기 애플 제품 많이 팔더라고
아 혹시 거기 아이패드도 팔아?,응 저번 달에 거기서 아이패드 샀는데 괜찮았어
너 혹시 애플사 브이아이피니?,그러게 애플 주식도 하나 살까 이참에?
야 무조건 사 후회하지 않을 거야!,그렇지 헤헤 나는 정말 애플 빠순인가 봐
너 호텔 델루나 본 적 있어?,아니 잠깐 클립으로만 봤어
나도 안 봤는데 이번에 넷플릭스에 떴더라고~,아 그래? 그거 누구 나오는 드라마야?
그거 아이유랑 여진구 나오는 드라마잖아!,와 아이유 여진구면 믿고 보는 거 아니야?
실은 나 델루나 오에스티밖에 안 들어봤어,어 나도 그런 것 같아 ㅋㅋ/태연이 부른 노래 너무 좋아
나 잘 때 마다 그 노래 듣고 자~,응 맞아 그거 말고도 폴킴도 부르고 좋더라
실은 폴킴은 모르고 태연 노래만 들어봤어~,아 그래? 다른 곡도 좋은 거 많아/꼭 들어봐
다른 곡 추천할만한 거 있어?,러브 델루나 들어봐 ㅋㅋ
오늘 잘 때 들어봐야지~,응 그래 다음에 드라마도 같이 보고 ㅋㅋ
나 오늘 영화 볼 예정인데 추천할만한 영화 있어?,음 최근에 모가디슈 봤는데 이거 재밌더라
모가디슈는 무슨 내용이야?,남북 영사관이 힘을 합쳐서 테러국을 빠져 나오는 영화야
실제 있었던 일을 바탕으로 만든 영화인가?,실화로 만든 거라 하더라/그리고 지금 아프간이랑 비슷해
옛날에 그런 일이 있었구나!,실화로 만든 건데 재밌어/김윤석 배우가 나와!
헐 믿고 보는 김윤석 배우지~!,응 시간 가는 줄 모르고 봤었어
그러면 너의 추천으로 오늘 저녁 영화는 모가디슈로 봐야겠다!,그래 좋아~/팝콘도 같이 먹어야 딱인데 ㅠㅠ
맞아 근데 코로나 때문에 콜라밖에 못 먹지?,그건 좀 아쉽다 ㅋㅋ/나는 자동차 극장에서 봤어
그렇구나 자동차 극장이면 차 안에서 뭐든 먹어도 되니까!,영화는 치킨이랑 함께~ 헤헤
디저트 중에 특히 좋아하는 디저트 있어?,나 크로플이랑 그릭 요거트 짱 좋아해! ㅋㅋ
그거 친구들도 스토리에 엄청 올림 해줘,우왕 그거 나도 해 먹으려고 복숭아 샀었는데 요거트를 안 샀더라고 허허!/그래서 복숭아 열심히 먹었어^^
나도 그릭요거트 딱히 안 먹어본 듯?,그래? 난 그릭요거트만 먹어 거의 ㅋㅋ/꾸덕하고 짱맛!
언니 그럼 그릭 요거트 가져와! ㅋㅋ,웅웅 맛있어 하하/난 완전 꾸덕한 거 좋아해!/커클랜드 그릭요거트 먹어보세요~/그래놀라랑 같이 먹으면 짱이얌 시나몬 가루 딱 뿌리고!
근데 그릭 요거트 단 맛 하나도 안 나?,나는 것도 있어/근데 알겠지만 난 무당 좋아해... 하하 .../거기에 와일이나 뭐 이것저것 올려 먹으면 더 좋아
에이 과일은 아니겠지,너네 그냥 척척 좀 알아들어 제발!/송송아 난 너 숨소리만 듣고 다 맞추잖아!/과일이지/척 하면 척!
복숭아 까는 게 왜 달라 그냥 껍질 까는 건데?,송송이는 그냥 살을 다 까는 거 아니야? ㅋㅋ
씨는 모르겠다,그러네 씨 때문에 어떻게 딱 반 하지? ㅋㅋ/궁금
일 많이 하고 돈 많이 받기랑 주 3일 출근에 지금이랑 똑같이 받기 골라봐 봐,어렵네 난 주 3일 출근에 똑같이 받기 할래
나도 무조건 주 3일 출근할래,매일 야근 안 할래.../그냥 3일 출근하고 자기개발 해서 돈 더 많이 벌래 나중에 ㅋㅋ
맞아 주 4일 된다는 얘기 있던데 제발 됐으면  ㅜㅜ,진짜... 제발.../수요일 딱 쉬어야 제맛이야
주 4일 실제로 논의되고 있어!,이미 다른 나라는 주 4일 시행하고 있는 곳도 있던디?/진짜 근데 효율 더 높을 것 같아
그때도 기업들이 안 된다고 반대하고 엄청 난리 쳤는데 결국 주 5일 된 거 보면 희망이 있어!,맞아 근데 4일은 뭔가 큰 희망이 보이진 않아 ㅋㅋ
맞아 그래서 안 될 거 같은데도 작은 기대라도 하는 중 ㅜㅜ,웅웅 진짜 체력도 딱 적당히 회복되고 ㅠㅠ/얼마나 좋을까.../아니면 난 그냥 재택만 해도 행복할 것 같아
일단 출퇴근 시간 절약하고 더 잘 수 있는 게 꿀이야,그니까 ㅋㅋ/지금 재택 하다가 출퇴근으로 다시  전환하면 어떻게 다니냐고 걱정하던데
맞아 공부하는 건 좋은데 이제 공부할 필요 없으면 재택이 짱이야,맞아 ㅋㅋ 삶의 질 대폭 상승/진짜 집에서 하면 열심히 더 잘 할 수 있어 나...
군대에서 이제 핸드폰 사용할 수 있어서 좋은 거 같아~,맞아 맞아 근데 그거 개인 핸드폰 소지하는 거는 아니지?/공용으로 쓰는 폰인가?
엄청 예전에 비해 좋아졌다구~,아 진짜? ㅋㅋ/대박이다 진짜.... 충격/야 진짜 군대 가는 사람이 주변에 있어야 말이지 모...
맞아 휴식 할 때 연락 엄청 빠르더라고 ㅋㅋ 칼답이야,오 신기하넹!/페메로 대화하고 그랬었는데 진짜 세상 좋아졌구만
우리 군대 생활 했으면 나 잔소리 엄청 들었을 듯,야 같이 했으면 너네 내가 군기 빠짝 잡았지~^^
ㅋㅋ 맞아 엄마 역할 제대로 했을 듯,무슨 소리야 얘들아!/내가 병장이고 그랬으면 너네 군기 팍팍 잡았을 거야! ㅋㅋ
맞아 자꾸 왜 언니 계급이 높을 거라고 착각하지?^^,당연히 내가 계급이 더 높지!
하나야,아 몰랑~ ㅋㅋ!/근데 진짜 나 기합 안 받으려고 도와주는 거 인정 ㅋㅋ/송송이 내 짱친 인정해줄게
나도 나도 나도!,웃참 인정 ㅋㅋ 진짜 혼나도 웃고 있을 듯.../나나야 너 진짜 그 이모티콘 똑같아/좋아! 너도 인정해줄게!
혹시 나중에 배워보고 싶은 거 있어?,흠 난 약간 하고싶은 거 짱 많은 스타일이라/지금 생각나는 거는 전에 국제 바리스타 자격증 배우다가 알바 그만뒀는데 ㅋㅋ 그거 계속 하고 싶오
오호 나 과에서 바리스타 자격증 땄었는데 라떼아트로 하트도 만든다~,웅웅 거기 카페 사장님이 심사위원 자격 있어서 ㅋㅋ 시험도 거기서 칠 수 있었거든/약간 매주 한번 모여서 수업도 해줬어
나도 요리 잘하고 싶다~,아 ㅋㅋ 난 요리사 남편이 내 로망이었는데!/근데 다는 아니지만 반은 이뤘어 ㅋㅋ
지금 남자친구가 요리 잘한다는 거 아냐?,엥 내가 안 말해줬었나? ㅋㅋ/남자친구 요리사야
요리 많이 해주겠네~,난 하도 너네랑 별 얘기를 다해서 이미 알고 있는 줄 알았어 ㅋㅋ/맞아 덕분에 살 많이  쪘었어
나는 그냥 요리 잘하는 남편 만났으면 좋겠다 ㅜㅜ ㅋㅋ,ㅋㅋ 근데 제대로 요리 하는 건 아직 못 봤어/나중에 유튜브 할 거야/구독과 좋아요 해줘 ^^
갖고 있으면 유용할 기술이야,구니까!/송송 같이 배우러 다니장 ㅋㅋ
사진보다 그때 느낌을 더 잘 담을 수 있어서!,오 다같이 배우러 가자 ㅋㅋ!
가족들이랑 생일 챙기는 편이야?,아예 안 챙기지는 않는데 완전 중요하게 챙기진 않아 ㅋㅋ/항상 미역국은 끓여줘 그래도
맞아 우리 부모님도 매년 음력이야 ㅋㅋ,우리 부모님도 ㅋㅋ/직접 끓여준 적은 한 번? 난 맨날 나와서 살았으니까/그냥 누군가는 항상 끓여!/근데 우리는 생일이나 기념일이 거의 년초에 몰빵이라 같이 챙겨... 설에 용돈을 좀 많이 드리거나 하는 식으로
ㅋㅋ 웅 엄마가 불고기랑 잡채랑 미역국 해서 맛있게 먹고 내가 사간 케이크로 초 불고 케이크도 먹었어 ㅋㅋ,잘했졍! 하하/언니랑 선물 같은 거는 따로 챙겨드려?
웅 원래는 항상 선물 줬었는데 고르기가 너무 힘들고 시간이 없어서 그냥 돈으로 드렸어ㅜㅜ,부모님 결혼기념일에는 뭐 해드려 너네?
예전엔 비싼 레스토랑 언니랑 같이 예약해주고 선물 주고 했었어!,오호 우리도 그냥 밥 먹고 하다가 요즘엔 안 챙겨 ㅋㅋ/다 비슷하네!
돈으로 드려~,맞아 그게 편하긴 해 ㅋㅋ/근데 돈으로 주면 엄마는 계속 뭐 안 사서 일부러 선물 챙겨줄 때도 있어
우리는 그냥 주면 좋아해 교환은 한 번도 안 하신 듯 ㅋㅋ,우리는 그래서 옷은 데리고 가서 사준다  ㅋㅋ/한 번씩 아깝다고 지갑 같은 건 안 가지고 다녀서 옛날 지갑 숨기고 강제로 바꿨었는데
효녀들이야!,ㅋㅋ 그럼 그럼! 당연하지 ~/돈 많이 벌어서 더 잘하자 얘두라!
결혼에 대한 로망 같은 거 있어?,로망... 딱히 없는데 애기 낳아도 내가 1순위였으면 좋겠어...!
나도 애기 낳아도 누구 엄마라고 안 부르고 여자로 대해줬으면 좋겠어,송송아 근데 상상 간다 ㅋㅋ/뭔가 그 짱구스런 모습이.../난 그래서 이름 부르는 거 좋아해!/애칭 그런 거보다 걍 이름으로 불러 달라고 강요해
만약 내가 나가서 일 안 하고 집에 있으면 남편 출근 전에랑 퇴근했을 때 뽀뽀해주기 ㅋㅋ,나나얌... 좀 귀엽네/ㅋㅋ 너네 둘 다 진짜 로망다운 로망이야 ㅋㅋ
누가 집안일 해...? ㅋㅋ,지가 해야지 모 ㅋㅋ/축하해 송송아!
우리가 평가해줄게~,ㅋㅋ 나나만 먹는대!/난 사서 먹을게 ^^
우리 왜 이용해!,요리 뭐 해봤어 송송/ㅋㅋ 일단 들어만 볼게
송송 언니 그냥 요리 하지 말고 지금처럼 맛있게 먹어,ㅋㅋ 백종원 선생님한테 배우자 송송아/그게 더 빨라
요리해줘라 미래 남편아!,ㅋㅋ 진짜! 만들어준 거 잘 먹으면 진짜 뿌듯
집에서 앵무새도 꽤 많이 키우더라!,앵무새 맞아 ㅋㅋ/그 잔소리 따라 하는 앵무새 봤냐구 ㅋㅋ
나는 평소 주인이 하던 말 따라해서 배달 기사 앞에서 창피 줬다는 거 봤었어,그거도 본 거 같은데 욕 따라 하는 애지?/난 인스타에서 봤었는데 막 누구야 영어 숙제 해라! 누구야 밥 먹어라 이런 거 계속 따라해 ㅋㅋ
나는 한번도 본 적은 없다ㅜㅜ,나도 그냥 듣기만 했었어 ㅋㅋ/전에 경주에 동궁원 놀러 가서 앵무새 어깨랑 머리에 올려봤어
갑자기 날아오를 수도 있고 그냥 멀리서 구경할래 ㅋㅋ,아니 진짜 무서운데 웃겼어 ㅋㅋ/어깨가 움츠려져서 펴지지가 않더라
그 아저씨는 언니 신기한 경험하라고 해줬나보다,ㅋㅋ 맞아 그거 들어봤당/근데 그 비둘기 아줌마 나오는 영화가 나홀로 집에 그건가?
비둘기 너무 싫어 더럽고 징그러,나쁜 아저씨였네 ㅋㅋ/비둘기 날면 비듬 엄청 떨어진다고 듣고 그 뒤로 절대 가까이 안 가 ㅋㅋ
장난친다고 일부러 날리는 사람들 젤 싫어,아니 그래서 닭둘기라고 하잖아/넘 웃겼어 첨에 그 이름 들었을 때 ㅋㅋ/난 피하고 있는데 옆에서 장난치면 진짜 때리고 싶어...
근데 요즘 일 집 일 집이라 볼 기회도 없긴 해...,오 진짜 보긴 했는데 막 전처럼 무리로는 못 본 것 같다?
스포츠 경기 직접 보러 간 적 있어?,나 야구장 울산에서 한번 가봤당!
나도 야구 잘 모르고 안 가봤는데 가서 노는 분위기는 재밌을 거 같아!,나도 야구 몰랑 ㅋㅋ/옆에서 친구가 엄청 설명해줬었어/그리고 그 응원석 바로 뒷편이어서 재밌었어 하하
같이 환호하고 이런 분위기 진짜 재밌을 거 같아,축구 나도 대학교 다닐 때 학교 운동장에서 스크린으로 경기 다같이 봤었어 ㅋㅋ
맞아 진짜 그 분위기에 완전 빠질 듯 소리 엄청 질러야지 목 쉴 때까지 ㅋㅋ,암것도 모르면서 그냥 보면 분위기가 재밌어 ㅋㅋ/전에 독일전 할 때도 괜히 치맥하러 슬 가서 다 챙겨봄
맞아 올림픽 경기 진짜 가서 실제로 보면 다 엄청 재밌을 듯!,맞아 직관이 최고야 진짜 ㅋㅋ/야구도 아예 관심 없었는데 친구가 계속 가자고 졸라서 갔다가 넘 재밌었어
맞아 목 백 퍼 쉬어 계속 소리 질러야 돼 ㅋㅋ,어휴 얘들아 잠깐 상상했거든 너네랑 치킨집 가서 축구 보는 거?/진짜 귀 터질 것 같아 ㅋㅋ
좋아! 언니 상상을 현실로 만들어줄게 히히,절레 절레 피곤하다 정말.../그날은 아파서 좀 빠질게 하하
갈 수 있으면 가자!,그래 또 할 거 생겼넹! ㅋㅋ
여행 갈 때 계획 짜는 편이야?,계획을 짜긴 해... ㅋㅋ/근데 거의 잘 안 지키는 듯?/그리고 사실 때때로 좀 틀려!
나도 이 날짜에 여기 여기 가자! 이런 거 정해 놓고 가 맛집도 찾아봐야 돼 미리!,난 계획 잘 짜는 사람 좋아 ㅋㅋ 내가 잘 못 짜서
진짜 나 제주도 가서 점심 저녁 야식 이렇게 만날 먹음 ㅋㅋ,와 ㅋㅋ 내 친구 중에 엠비티아이 제이형 있거든? 계획형 ㅋㅋ/걔랑 만나면 짱 좋아/맨날 경로랑 밥집 다 찾아줘
생각해보니까 친구들이랑 여행 갈 때는 친구들이 다 짜면 그냥 따라다녀,맞아 ㅋㅋ 나도 잘 따라 다니는 애야/근데 플러스 총무도 한다!/지금 곗돈 내가 담당하는 중이야  하하
그래? 카페 다들 필수구나,뿌듯하다/포지션 딱 잘 정했지?/카페는 왜냐면 쉬어가는 타임 ㅋㅋ/그리고 플러스 사진 찍어야지~
ㅋㅋ 그래! 요즘 바다 가서 수영하고 싶었는데 코로나 때문에 못 갔다 ㅜㅜ,ㅋㅋ 난 수영 못해!/튜브 필수야
맞아 워터파크 놀이기구 타고 싶다!,워터파크 파도풀 맨 앞으로 가는데 내가 잘 못 가니까 친구가 나 끌고 갔었어/ㅋㅋ 아주 고마운 친구야...
가을에는 항상 일교차가 너무 심해서 옷을 어떻게 입어야 될지 모르겠어...,진짜 난 어제 너무 추웠어서 긴팔 입구 왔다 ㅠㅠ/얇은 거 입으니까 딱 좋았어 하하
난 아직 긴팔은 더워 ㅜㅜ,지하철 안에서는 조금 덥긴 해 ㅋㅋ/그래서 팔 걷고 왔어
왜냐면 밖에 날씨 시원하니까 에어컨을 안 틀어주는데 사람 많아서 열기 엄청나서 반팔 입고도 엄청 땀 나 ㅜㅜ,와 나랑 진짜 반대야  ㅋㅋ/난 이때가 젤 추워
오늘도 땀 흘리면서 왔다 밖에는 물론 나두 춥지ㅜㅜ,그 정도였어? ㅋㅋ/그냥 따뜻하다고 생각했어 좀 있으니까 살짝 더워지긴 했는데.../근데 이러다 또 금방 털옷 입겠다 그치 ㅋㅋ
진짜 귀찮아서 맨날 롱패딩만 입을지도...,롱패딩 진심 최악이네 ㅋㅋ/그거 입고 버스나 지하철 타면 앉을 때 완전 불편하잖아.../가방 들고 다니는 것도 싫어 ㅠㅠ
ㅋㅋ 난 원래 키보드 안 가지고 다녀서 가방은 가벼웠지롱~,ㅋㅋ 맞아 이번 주말도 가벼울 예정이야?
흠 안 할 거 같지만 예의상 가져갈게!,ㅋㅋ 송송아 조심해!/어제 우리 얘기했잖아.../잔소리 잘못하면 큰일 나
ㅋㅋ 아니 여러분 잔소리 안 해도 제가 알아서 잘 합니다!,ㅋㅋ 오케이 암튼 우리 컨디션 관리 잘 하자!/이런 날씨 진짜 조심해야 한당
박원순 묘소 20대 어떤 사람이 훼손했대!,어어 봤어/그 사람 술 마신 상태도 아니었다는데.../바로 묘소 근처에서 잡혔다더라
자기가 직접 그렇게 했다고 신고했다는데 ㅋㅋ,아 뭐야 ㅋㅋ 다시 읽어보니까 자신이 훼손했다고 스스로 신고했네 진짜 ㅋㅋ/이유가 성추행범인데 편안하게 누워 있는 게 마음에 들지 않아서래
그 사진 보고 너무 더러웠어 ㅋㅋ,윽 아니 그건 못 봤는데.../자살한 거 진짜 너무 무책임하다고 생각했어/진짜 어떻게 그런 식으로 죗값을 치를 생각을 하지?
맞아 또 자살한 사람 많잖아!,웅웅 맞아... 연예인도 있잖아... 이렇게 공인들이 그런 짓을 하고 다닌다는 게 진짜 이해가 안 가/그리고 저 사건 피해자 2차 피해 엄청 당했잖아
