req,res
적어도 단순히 요즘 힘들어서 연락하기 힘든거라면 당분간 연락 못한다고 말해주면 좋겠어,맞아. 최악을 상상하다 보면 사람이 불안해지잖아
요즘 유기 동물이 너무 많아서 사회적으로 문제가 되고 있잖아,우리 동네에도 많이 보이지
반려동물 등록이 의무화 되었다고 하는데도 잘 이뤄지지 않는 것 같아,맞아. 내장 칩을으로 등록을 해도 외출 시에 인식표를 차고 있어야 하는데 잘 못본 것 같아
사람들이 정말 자신의 가족이라고 생각하면 잃어버렸을 때를 위해서라도 꼭 등록해야 하는데,응. 권리를 주장하기 위해서는 의무도 다해야 하는 법이야
실제로 단속이 많이 이뤄지지 않아서 사람들이 더 안하는 것 같아,단속에도 인력이 필요하다보니 그런 것 같아
사실 반려동물 등록을 왜 안하는 지 난 잘 이해가 안돼 나중에 버릴 걸 미리 생각하는 것도 아니고 말이야,"그러게, 등록화가 원활하게 이뤄져서 유기 동물 문제가 좀 적어졌으면 좋겠어"
게임을 더 재미있게 해주는 요소가 뭐가 있다고 생각해?,"음, 요즘은 이스터에그에 꽂힌 편이야."
"오, 나도 이스터에그에 관심이 많지.",사실 사람들이 찾아낸 것들을 보는 것 뿐이지만 말이야.
"나도 거의 그런 편인데, 스타듀밸리를 하면서 이스트에그를 스스로 하나 발견해 본 적 있어.","오, 엄청 뿌듯하고 기뻤겠는 걸? 어떤 거였어?"
사실은 반쯤 운으로 찾았어. 시작 화면에서 렉이 걸렸는지 안넘어 가길래 막 클릭을 했거든?,"응, 시작 화면에도 이스터에그가 있었어? 몰랐는데."
"그랬는데 외계인이 나오더라고, 깜짝 놀랐어.",외계인? 생각지도 못한 내용이네. 나도 한번 해봐야지.
우리 샤워기 헤드 교체하는 거 어때?,왜? 지금 있는 샤워기는 마음에 안들어?
"음, 좀 별로인 것 같아서 요즘 좋은 샤워기 헤드가 많더라고",맞아. 기능성으로 나와서 피부 미용 캡슐이나 필터가 들어있는 것들도 있지
그래서 요즘 코로나 때문에 건강에 신경이 많이 쓰여서 필터가 있는 것을 구매하고 싶어,"음, 그것도 좋지 나는 좀 더 샤워기의 헤드 사이즈가 컸으면 좋겠네"
나는 사이즈도 컸으면 좋겠지만 수압도 더 강하게 나오는 게 가지고 싶어,수압이 강한 샤워기로 샤워하면 매우 상쾌한 기분이 들지
맞아 먼지가 싹 씻어 내려가는 것 같아서 너무 좋다고,그럼 우리 부모님이랑 같이 고민해서 골라보자
앞으로 군대에서 일반 병사에게도 두발 자유를 허용한대,그럼이제 이등병의 편지에 나오는 가사는 역사속으로 사라지겠구나
일단은 병사들의 자유를 조금이나마 존중해줘서 좋다,"맞아, 맨날 그래서 대학교 복학생들은 누가 봐도 복학생 티가 났잖아"
그리고 정말 머리를 보이고 싶지 않으면 한 학기 더 쉬는 경우도 많았지,그런데 이제 군대에서 머리를 자유롭게 할 수 있으면 그런 걱정은 덜어서 정말 좋다
갑자기 너무 자유를 많이 주는 것 같다고 하더라고.,그렇게 느낄 수도 있지만 훈련에 큰 문제가 없다면 크게 문제시 할 필요는 없다고 생각해
징병제이기 때문에 어느 정도 자유는 보장이 되어야 한다고 봐,"강제로 일생에 일부를 투자해서 나라를 지키는 군인들은 정말 대단한 것 같고,/자랑스러워 할 일이라고 생각해"
인연을 끊자는 어머니의 말에 아들이 집에 불을 질렀대,"아이고, 무슨일이 있었길래 부모가 먼저 인연을 끊자고 해?"
1억원 정도 빚을 졌는데 그 이후에도 도박을 계속 했나봐,"아들이 큰 잘못을 했네, 그런데 적반하장으로 집에 불까지 지른거야?"
"응, 가족들이 자고 있다가 대피해서 다행히 인명 피해는 없었대",그건 정말 다행이다!
그런데 어머니는 자식이라고 처벌을 원하지 않으신다고 하더라고,"어휴, 가족의 연은 끊기 어렵다고 하지만 오히려 그 굴레에서 못 벗어나고 힘들어하는 사람들이 정말 안타까워"
단호하게 정리할 필요도 있는 것 같아,"맞아, 나도 언니랑 인연을 끊는다는 상상은 전혀 되질 않는데 만약/나의 과도한 폭력으로 인해서 언니가 인연을 끊겠다고 말한다면 할 말이 없는 게 맞는 일인 것 같네"
남자친구가 자꾸 결혼을 염두하고 있어서 부담 돼,왜? 아직 나이도 어리잖아
그런데 만난지 벌써 7년이 되었으니까 빨리 결혼이 하고 싶나 봐,언니는 결혼하고 싶지 않아?
"아직 자리도 안 잡혔고, 아기를 낳을 생각이 없어서 크게 급하게 생각하고 싶지는 않아",그렇구나 언니 인생도 중요하니까 좀 더 생각해 볼 필요도 있지
그리고 요즘 남자친구랑 성격 문제로 자주 다퉈서 고민 중이거든,"성격 차이로 이혼하는 사람도 정말 많은데, 신중히 결정해야 해"
그런데 남자친구는 당연히 자기랑 결혼을 한다는 전제로 말하니까 답이 안 보이네,둘이 툭 터놓고 대화를 할 필요가 있어 보인다
새벽마다 고양이들이 너무 울어대서 시끄러워서 잠을 못 자겠어,고양이들이 발정기에 들어갔나 봐
"아이고, 이렇게 또 길 고양이 개체 수가 늘겠구나",동물의 본능인데 어떻게 하겠어 어쩔 수 없지
길 고양이가 많아지면 음식물 쓰레기도 파헤치고 참 안 좋은 데 말이야,그래서 요즘은 포획해서 중성화 수술을 시키기도 한대
그렇구나. 그러면 개체 수가 늘지 않아서 좋긴 하구나,포획한 김에 보호소에서 관리하면 좋겠지만 아무래도 비용이 많이 드니까 어쩔 수 없지
맞아. 그리고 보호소에 들어 가서 일정 기간 입양이 안되면 대부분 안락사 당하잖아,맞아 너무 안타까워 인간의 이기심으로 생명을 잃는다니 윤리적이지 못한 것 같아
요즘 스포츠계가 시끄럽잖아,"응, 배구 학폭이랑 쇼트트랙 고의 충돌 의혹으로 난리지"
심석희 선수가 이번에 불법 도청으로 조사를 받았다고 해,"나도 들었어, 국민 신문고에 누군가 민원을 넣어서 통신비밀보호법 위반으로 조사를 받았대"
계속해서 스포츠계에 문제가 일어나고 있는 게 다 실력지상주의로 인한 문제인 것 같아,맞아. 선수들은 실력으로 평가 받을 수 밖에 없다 보니 실력에 따라 권력도 따라올 수 밖에 없지
그리고 너무 어린 나이부터 스포츠에만 전념하다보니 인성 교육이나 다른 부분이 미흡하기도 한 것 같아,"응, 그리고 어렸을 때  부터 너무 실력을 위해 경쟁만 하다 보니 이런 면이 더 크게 부각되는 것 같아"
김연아 선수처럼 실력 뿐만이 아니라 마음씨까지 1등인 선수들이 많이 나왔으면 좋겠어,그러게. 앞으로 선수를 교육할 때에도 기계를 만드는 게 아니라 마음이 있는 사람으로 교육시켰으면 좋겠네
너 요즘 엔씨소프트 신작이 혹평 받는 것 알고 있니?,리니지와 다른 점이 없어서 엄청 혹평을 받고 심지어 주가도 많이 떨어졌잖아
이번 일로 우리나라에서 가장 큰 게임 회사들이 다시 한번 원성을 듣고 있어,"응, 3N 이라고 부르는 넥슨, 엔씨소프트, 넷마블 세 곳 모두 현금 결제 유도가 심하잖아"
그래서 우리 나라는 컨텐츠 강국인데도 불구하고 좋은 컨텐츠의 게임이 없다고 원성이 자자해,"맞아, 시간이랑 돈을 많이 써도 그만큼의 효과도 발휘하지 못하고 아이템 뽑기 게임이 되어버렸다고 하더라고"
너무 사업성 위주의 게임만 출시하다보니 이렇게 다른 나라의 게임들에 밀리고 발전이 없는 것이 좀 아까워,그러게 말이야. 황금알을 낳는 거위의 배를 가르고 있는 거라고 생각해
"맞아, LOL 같은 게임을 보면 유료 구매는 스킨처럼 외적인 변화만 주고 실제 게임 플레이에는 관련이 없잖아",그럼에도 불구하고 사람들이 본인이 좋아하는 캐릭터 스킨을 사기 위해 유료 구매를 하잖아./그우리도 컨텐츠로 승부를 보고 오히려 시장의 크기를 전세계로 넓혀서/더 큰 돈을 벌 수 있게 게임의 방향성을 바꾸었으면 좋겠어
요새 낮에도 엄청 추웠잖아,"맞아, 너무 추워서 항상 담요를 덮고 있었지"
그런데 오늘 낮은 여름 만큼이나 더워서 깜짝 놀랐어,"나도 잠시 산책을 다녀왔는데, 너무 더워서 화가 날 뻔 했어"
나는 추울까 봐 두꺼운 옷에 가디건을 입고 나갔거든,"아이고, 그러면 벗을 수 없어서 너무 덥고 땀이 많이 나서 찝찝했겠네"
맞아. 그래서 앞으로는 겹겹이 껴 입는 것이 좋을 것 같아,원래 환절기에는 날씨가 자주 바뀌기도 해서 여러 겹을 입고 벗는 게 최선이지
"새벽에는 겨울인데, 낮에는 아직도 여름이네",지구가 지금 몸살을 많이 앓고 있는 것 같아
미국 상위 1%가 전체 부의 35%를 차지 하고 있어서 큰일이라고 하네,어느 나라나 양극화가 문제 많이 되고 있네
그래서 오징어 게임을 보고 많은 사람들이 공감했다고 해,자유 경제 체제를 가지고 있는 나라들은 그럴 수 밖에 없지
맞아. 요즘 젊은 친구들도 능력이 없어서가 아니라 사회적 문제로 저임금의 노동을 하잖아,대부분의 부가 부동산이나 주식 같이 눈에 보이지 않는 것들의 상승세로 이루어져서 그렇지
"맞아, 그래서 땅 부자가 진짜 부자라는 말도 있잖아",미국에서도 집 자체가 주거가 아닌 재테크의 수단이 되고 있다는 것이 조금 서글픈 것 같아
집이 없는 가난한 사람들은 계속해서 점점 더 가난해질 수 밖에 없지,"계속해서 이런 일이 반복되니까 점점 더 부의 격차가 심해지는 것 같아./돈이 돈을 낳는 격인데, 모두가 돈 걱정 없이 행복한 날이 올 수 있을까 싶어서 슬퍼"
오랜만에 옆 동네에 놀러 갔는데 카페가 정말 많이 생겼어,그래? 예전에는 음식점이 주를 이루더니 이제 카페가 많아졌구나
그래서 그런지 정말 특이한 인테리어 컨셉을 가지고 있는 카페들이 꽤나 있더라고,어떤 카페였는데? 요즘은 컨셉이 있는 카페들도 많더라
그 동네는 음식점이나 주택이었던 곳이 많았다 보니 그 형태를 그대로 유지하고 카페를 이어 가더라,어떤식으로 되어 있는 지 그렇게만 들으면 상상이 잘 안가네
"일식집이나 옛 건물, 개인 주택을 그대로 수리만 하고 카페로 바꿔서 운영하는 느낌이야","그러면 일식집 형태의 가게인데, 인테리어도 일식집처럼 꾸며 놓고 카페 메뉴를 판매 하는거야?"
응 맞아. 비용 감소를 위해 폐업한 장소 위에 그대로 사용한 것 같던데 느낌도 새롭고 좋더라고,얘기를 들어보니 나도 한번 직접 가서 보고 싶네
엄마는 나한테 너무 기대하는게 많으신 것 같아,"응, 나한테도 기대하는게 많으시지만 언니는 첫째라 그런지 유독 더 그러신 것 같아"
그래서 너무 부담이돼,언니는 지금 힘든일이 많이 겹쳤는데 엄마까지 기대하니까 많이 지쳤구나?
"응, 장녀 컴플렉스가 있어서 어떻게든 착한 딸로 말 잘듣고 있고 싶은데 마음대로 잘 안되네","음, 언니도 어느 정도 엄마한테 언니의 입장을 어필해 봐"
"나도 그러려고 했는데, 쉽지는 않네. 그리고 엄마는 내가 그런 말을 하면 엄청 속으로 서운해 하시더라고","맞아, 엄마는 엄청 강한척해도 엄청 기대고 싶어 하는 타입이니까./그래도 누가 봐도 너무 많은 걸 바라잖아, 말은 못하더라도 조금쯤 마음을 편하게 먹어도 돼"
그래도 동생이 있어서 이렇게 고민도 얘기하고 나눌 수 있어서 다행이야,가족이니까 서로 힘들 때 의지하고 살면 좋지.
나 오늘도 남자친구랑 싸웠어,또 싸웠어? 요즘 따라 다툼이 많네
그러게 말이야. 나에게 좀 더 관심을 갖지 말고 나를 존중해달라고 하는데 이해를 안 해주네,언니는 관심을 받고 싶지 않은거야?
"본인은 관심이라고 생각하는데, 내가 느끼기엔 간섭으로 느껴져","음, 사람마다 느끼는 정도에 차이가 있을 수 있지"
나는 한 번 얘기하고 내가 싫다고 했으면 그냥 그 이후에는 내 생각대로 해줬으면 좋겠다고 말했거든,그럼 언니가 싫다고 하는 부분에 대해서 계속해서 생각을 바꾸려고 드는거야?
"응, 자기 고집대로 될 때 까지 계속 말해서 너무 지쳐서 감당이 안 돼","7년이나 만났는데 지금도 안맞는 부분이 있다니, 역시 사람은 자기 성격을 고집하고 사나 봐"
나 이번에 요가를 하려고 마음 먹었어,"오, 드디어 다시 요가 시작하는 거야?"
"응, 마음이 약해질까봐 유료 어플까지 구매했어","잘했어, 요가는 정신에도 많은 좋은 영향을 끼치지"
게다가 요가는 명상도 할 수 있어서 나를 위한 릴렉스 타임으로 딱이야.,"오, 그럼 나도 이번 기회에 언니랑 같이 요가를 해볼까?"
너는 정적인 운동을 안좋아해서 취향에 안맞을수도 있어. 그래도 한번 해보기나 해 봐. 좋을수도 있잖아?,"응, 좋네. 나는 초심자니까 스트레칭 위주의 동작을 해야 겠어"
다양한 운동을 한번에 다 이용할 수 있어서 너무 좋더라고. 너도 꼭 해봐!,"오, 되게 다양하구나. 한번 살펴보고 나한테 맞는 운동을 찾아 볼게"
너 오버워치 눈송이 교환소 알아?,"응, 접속 누적 시간에 따라서 코인을 주고, 경품을 뽑는 거잖아"
눈송이 교환소를 보면 판매하지 않는 예쁜 한정 제품들이 있어서 너무 탐이나,"맞아, 그래서 나도 꼬박꼬박 사용하는 편이야"
"그런데 몇년을 하는데도 한번을 당첨이 안되네, 너무 슬퍼",아 진짜? 나는 뭐 하나 당첨된 적 있지!
"오, 뭐 당첨됐었는데?","파치마리 무드등을 받은 적이 있어, 실물이 더 예쁘더라고"
"아, 너무 부럽다. 내가 게임은 더 많이 하는데 너만 뽑고 치사해",원래 물욕 센서가 있다고 하잖아. 마음을 비우면 뽑힐수도 있어
가을이 되니까 도토리가 바닥에 굴러다녀.,도토리가 너무 귀엽더라고.
그래도 도토리는 주우면 안돼. 다람쥐들의 식량이라고!,그 정도는 나도 알아.
다람쥐한테 도토리를 뺏으면 안되는 이유가 있어.,다람쥐가 겨울 동안 먹을 식량이 없어서가 아니야?
"그 이유도 있지만, 다람쥐는 먹이를 땅을 파서 숨기는데 다 기억을 하지 못한대.",뭔가 멍청한 것 같아서 귀엽네!
그런데 이건 오히려 똑똑한 이유일지도 몰라.,그래? 당장에 먹이를 덜 먹게 되는데 어느 부분이 똑똑해?
기억을 못해서 못 먹은 도토리들은 그 자리에 뿌리를 내려서 나무가 되는 씨앗이 되는 거라고!,"오, 그럼 먼 미래의 동족을 위해 그럴 수도 있는 거네."
미국은 이민자 문제가 많았잖아,"응, 그래서 한때 이주민을 못넘어오게 국벽도 강화 하기도 했지"
그래서 트럼프 전 대통령의 임기 전에 100만명이던 이민자가 절반으로 줄었다고 해,그래? 그러면 바라던 대로 이민자가 줄어서 좋은 것 아니야?
그런데 지금 미국도 출산율이 낮아서 고령화되고 있는 추세인가봐,그럼 이제 젊은 노동층 인구가 부족해지는 현상이 찾아 오겠네
이렇게 젊은층이 부족해지면 경기에 영향이 올거라고 하네,"경제 활성화를 위해서는 계속해서 일을 할 사람들이 필요한데,/요즘 전세계적으로 저출산율을 보이고 있어서 큰일이네"
"응, 그렇지. 우리나라도 외국인 노동자들이 요즘 굉장히 많잖아",외국인 노동자를 고용하는 것은 나쁘지 않지만 불법 이민자를 생각하면 무서워./미국도 그래서 그런 정책들을 펼쳤던 거야./앞으로는 정식적으로 이민을 해서 나쁜 인식을 점차 누그려트렸으면 좋겠어
"나는 셔츠가 많은데, 빨래를 할 때 마다 너무 주름져서 스트레스야",그럼 매번 다리미질을 하는 거야?
"응, 그래서 너무 번거롭고 시간이 많이 걸리더라고",그럼 세탁소에 맡겨보는 건 어때? 집 앞에 세탁소가 생겼더라고
그래? 세탁소가 좋기는 한데 너무 비용면에서 비싸다고 느껴질 것 같아,그래도 집에서만 빨래를 하다보면 조금 천의 느낌도 상하니까/가끔씩이라도 셔츠류는 세탁소에 맡기는 게 좋아
그래? 근데 세탁소를 매번 가다 보면 그 돈 모아서 스타일러 살 수 있을 것 같아,"음, 그런거 같기도 하네. 스타일러는 구매하면 다른 의류도 같이 관리가 가능한 장점이 있네"
너가 봐도 그렇지? 그래도 당장 스타일러 살 돈은 없으니까 너의 말대로 해보도록 할게,"그래, 얼른 돈 많이 벌어서 스타일러 사서 옷도 보관하고 간편하게 관리해"
"어제 너 운전하는데, 처음으로 회전 교차로 가본거였지?","응, 그래서 좀 긴장도 되고 떨렸는데 생각보다 아무렇지 않더라고!"
"오, 이제 아주 운전의 달인이 되었네",과찬이네. 예전보다는 많이 능숙해졌지만 좀 더 연습이 필요하지
운전은 안 하다보면 감을 또 잃어버리니까 계속해서 하는 게 좋대,맞아. 오랜만에 하면 감을 좀 잃어서 자신이 없어지더라
앞으로는 나랑 드라이브 겸 운전 연습을 해보는 건 어때?,나 기사로 부리고 싶은 건 아니고?
당연히 아니지! 일주일에 한 두 번 운전을 계속 해보면 감을 잃지 않을 것 같아서 그래,그렇긴 하지. 그럼 나 커피 좋아하니까 예쁜 카페 찾아서 같이 돌아 다녀 보자
요즘은 사교육에도 정말 다양한 종류가 있는 것 같아,맞아. 내 동생 친구는 초등학생인데 코딩학원에 다닌다고 하더라고
요즘은 코딩 열풍이니까 그런 학원도 생기는구나,맞아. 그리고 클라이밍이나 스위밍 클럽도 많이 다닌다고 하더라
"우리 어렸을 때 에는 대부분 피아노나 태권도, 미술을 다녔잖아","맞아, 우리도 미술학원과 피아노 학원을 다녔지"
조금 더 다양한 배울거리들을 배우는 것 같아서 좋아보이네,그러니까 말이야. 견문을 어렸을 때 부터 넓힐 수 있어서 좋은 것 같아
앞으로도 부모님들이 아이들의 진로 탐색을 위한 사교육을 많이 하면 좋겠다,"맞아, 단순히 공부를 위한 것이 아니라 적성에 맞는 것을 찾기 위한 사교육은 좋다고 생각해"
내 친구 언니가 임신을 했대,"어머, 축하한다고 전해드려"
"언니는 애를 꼭 낳고 싶어 하는데, 아빠 후보가 두 명이어서 문제래",아이고. 그럼 아빠 될 사람한테 연락은 안 해봤대?
두 명 다 원나잇 스텐드로 만나서 일단 연락은 둘 다에게 하고 상황을 설명했대,그래서 소득은 있었대?
"그랬더니 한 명은 책임진다고 하고, 한명은 아기를 달라고 하는 대신 2억을 주겠다고 했다는 거야",둘 다 책임은 지겠다고 했구나. 그래도 지금 당장 아빠를 알 수는 없으니까 언니도 고민이 많겠다
그러게 말이야. 피임을 안 해서 생각지도 못한 무책임한 일이 벌어지지 않았을 것 같아 아쉬워,그래도 책임을 지기 위해 일단 출산을 꼭 해야 하겠다고 하시니 태교에 힘쓰셨으면 좋겠다
요즘 유기견 정말 많잖아. 유기 동물에 대해 어떻게 생각해?,정말 불쌍하고 안타까워 그런 일이 많이 일어 나지 않았으면 좋겠어
유기 동물들은 자기가 버림 받아도 주인을 계속 기다리고 있다고 하잖아,맞아 그런데도 쉽게 동물을 버리는 나쁜 사람들이 정말 많아
그래도 요즘은 반려 동물을 들일 때 유기 동물을 고려하는 사람들이 좀 많아져서 다행인 것 같아,요즘은 소셜 네트워크를 이용해서 유기견 입양 권유를 많이 하니까 말이야
"맞아, 보통 보호소에 들어 가서 일정 기간 지나면 안락사 하게 되어 있잖아",그래서 그런 친구들을 우선해서 입양해 달라고 권유해서 생명을 구하기도 하는 경우도 많지
죽지 않아서 정말 다행인 것 같아 안 버렸으면 정말 좋았겠지만 말이야,"그러게, 유기 동물 입양도 좋지만 먼저 버리지 않는 분위기가 우선적으로 형성되는 게 좋을 것 같아"
나 요즘 암벽 등반에 조금 관심이 가더라,"오, 우리 올림픽 같이 봤잖아. 그거 보고 빠졌구나?"
"응, 처음 하는 거라서 별 기대 없이 봤는데 생각보다 너무 재밌었어",어느 종목이 가장 재밌었어?
나는 볼더링이 너무 재밌더라,나도 볼더링이 다른 운동이랑 느낌이 다르게 퍼즐을 푸는 것 같아서 너무 재밌더라고
선수 마다 루트를 다르게 선택하는 것도 보는 재미가 있었어,"맞아, 답이 정해져 있는 줄 알았는데 문제 풀이가 다 다르니까 누가 성공할지 두근거리더라고"
서채현 선수가 어린데도 긴장하지 않고 열심히 해줘서 더 재미있게 본 것 같아,맞아. 리드도 스피드도 침착하게 하는 모습이 정말 멋지더라. 4년 뒤도 기대가 되네
저번 주말에 너무 바빠서 게임 접속을 못했지 뭐야,뭐 하루 정도는 게임 접속을 못할 수도 있지 뭐
"그렇긴 한데, 주말에는 하필이면 길드원끼리 같이 해야하는 미션이 있거든",그런것도 있어? 너무 번거롭지 않아?
그래도 길드에 들어가서 미션을 주말마다 참가하는 보상이 너무 괜찮아서 어쩔 수 없이 하고 있어,"아이고, 게임을 너무 열심히 하네. 공부를 그렇게 했으면 서울대에도 갔겠어"
그랬는데 이번주에 접속을 못하는 바람에 보상을 못받았지 뭐야,하루 보상 못받는다고 죽지는 않으니까 이번주에 참가해서 보상 받아
내가 빠지면서 마지막 보상을 못 받아서 약간 죄책감이 들었어,게임은 즐기려고 하는건데 너무 과하게 생각하는 것 같아. 필수 참여도 아닌데 한 번 빠질수도 있지 뭐
올해는 비가 참 많이 오지 않아?,"맞아, 비도 많이 오고 이상 기후도 많았지"
점점 우리나라도 아열대 기후가 되어가고 있는 것 같아,"맞아, 몇년 전에 뉴스에서 우리나라에서 바나나가 자랐다는 소식을 봤어"
그래서 그런지 요즘은 기후 온난화에 대응할 수 있는 적응 작물을 키우기 위한 사업이 한창이래,"그렇구나, 정말 나중에는 우리나라에서 상업적으로 바나나를 재배하는 날이 올지도 모르겠네"
"맞아, 이제 우리나라도 장마가 아니라 우기가 있는 여름이 될지 몰라",올해만 봐도 엄청난 소나기가 잠깐 내리고 자주 자주 날씨가 바뀌어서 우산을 늘 가지고 다녀야 했잖아
응. 이제 점점 바뀌는 기후에 대비해서 생활 환경도 변화해가는 자세를 가질때가 왔네,"맞아, 온난화가 늦어지더라도 이미 변화하고 있는 것에는 대비해야/다양한 분야에서 큰 피해 없이 잘 넘어갈 수 있을 것 같아"
요즘 해외에서 민간인 우주여행이 이뤄지고 있대,"우와, 좋겠다. 그럼 돈만 있으면 누구나 아무 행성이나 여행을 갈 수 있는거야?"
"그건 아직 이르지, 아직 까지는 정해진 루트를 따라 이동하지만 무중력 체험도 할 수 있다고 하네","오, 정말 신기하다. 내가 죽기 전에는 한번이라도 우주에 가볼 수 있을까?"
"글쎄, 기술 발전의 속도에 따라 다르겠지",그래도 아직까지는 많이 비싸지
"당연하지, 우리 같은 서민들은 엄두도 못 낼 가격이지",앞으로 기술이 많이 빨리 발전해서 누구나 쉽게 우주여행을 갈 수 있었으면 좋겠네
세상 참 빠르게 돌아간다,"그러게, 이제는 우주에서 결혼식도 올릴 수 있겠다./상상만 했던 일들이 현실이 되다니 미래가 벌써 기대 되는 걸!"
우리 집 옆 부지에 공공주택이 들어온대,"오, 나도 집 밖에 나가고 싶은데 분양 받고 싶다"
근데 이미 4월 쯤 분양 신청은 마감한 것 같더라고,"아이고, 아쉽다. 그래도 공공주택이 들어오면 좀 더 우리집 근처에 들어오는 편의 시설이 늘려나?"
아마도 그럴 것 같아. 그래서 그런지 길 건너에 공공 체육 시설이 공사중이더라고,"오, 그러면 이제 우리 동네에서도 스포츠를 즐길 수 있게 되었네!"
"응, 우리 동네에는 공원이 없어서 조금 운동하기 어려운 환경이었잖아","맞아, 그래서 운동이 하고 싶으면 개인이 운영하는 체육관을 유료로 이용해야만 했지"
공공주택이 들어오는 것을 계기로 좀 더 많은 편의 시설이 들어왔으면 좋겠다,"응, 우리 동네에는 공원이 없으니까 좀 더 자연 친화적인 공간이 들어왔으면 좋겠어"
우리 동네에 있는 경전철 출근 시간 배차 문제로 얘기가 많았잖아,"맞아, 그래서 아파트에서 벽애 현수막 붙이고 민원도 엄청 넣고 그랬었지"
그래서 그런지 경전철 노선이 조금 변경 되었어,"잘 되었네, 어떻게 변경 되었어?"
종점에서 타는 사람이 적어서 출근 시간에는 종점을 그 다음 역으로 바꾸기로 했대,그러면 종점에서도 이용하는 사람이 분명 있을텐데 불이익을 받는 거 아니야?
그래서 대신에 5분에 한대씩 종점에서 다음역까지는 무료 셔틀 버스를 운영 해준다고 하네,아무리 그래도 그 근처 아파트 사람들은 반박이 많았을 것 같은데 말이야
그래서 그런지 종점 뿐만 아니라 인근의 아파트를 들러서 오더라고,"아파트랑 같이 협의를 한 모양이네, 앞으로는 출근시간에 배차가 많아져서 사람들이 편해 지겠어"
